component,address_ids
0,"[0, 1, 59, 255, 258, 326, 567, 664, 693, 929, 2276]"
1,"[2, 3]"
2,"[4, 5]"
3,"[6, 7, 165, 274, 454, 782, 1133, 1377, 1502, 1684, 1746, 1871, 2307, 2345, 2458]"
4,"[8, 9, 12, 27, 130, 387, 1057, 1310, 1311, 1600, 2479]"
5,"[10, 11]"
6,"[13, 14]"
7,"[15, 16, 30, 31, 34, 66, 77, 80, 122, 123, 124, 129, 158, 159, 164, 196, 201, 204, 205, 206, 215, 231, 234, 245, 248, 251, 254, 277, 280, 297, 327, 344, 366, 369, 382, 438, 441, 450, 478, 501, 518, 519, 520, 525, 530, 533, 536, 541, 546, 549, 557, 562, 572, 573, 586, 591, 592, 606, 627, 630, 636, 642, 680, 685, 687, 688, 704, 743, 763, 773, 781, 802, 809, 812, 819, 820, 831, 882, 890, 909, 917, 930, 931, 959, 970, 973, 978, 984, 1000, 1006, 1017, 1022, 1025, 1026, 1040, 1041, 1077, 1084, 1090, 1099, 1100, 1104, 1208, 1213, 1225, 1252, 1261, 1277, 1290, 1293, 1339, 1349, 1410, 1457, 1488, 1520, 1565, 1577, 1595, 1597, 1599, 1644, 1675, 1685, 1704, 1709, 1721, 1768, 1776, 1791, 1822, 1890, 1897, 1902, 1932, 1987, 2000, 2069, 2110, 2227, 2407, 2488]"
8,"[17, 18, 823, 948]"
9,"[19, 20, 1555, 1556]"
10,"[21, 22]"
11,"[23, 24, 887]"
12,"[25, 26, 444, 2490]"
13,"[28, 29, 686, 2379, 2499]"
14,"[32, 33]"
15,"[35, 36]"
16,"[37, 38]"
17,"[39, 40]"
18,"[41, 42]"
19,"[43, 44]"
20,"[45, 46]"
21,"[47, 48, 801, 828, 979, 1110, 1363, 1370, 1941, 2367]"
22,"[49, 50, 679, 1396]"
23,"[51, 52]"
24,"[53, 54]"
25,"[55, 56, 1120]"
26,"[57, 58, 729, 730, 1088, 1089]"
27,"[60, 61]"
28,"[62, 63]"
29,"[64, 65, 584, 805]"
30,"[67, 68, 1532]"
31,"[69, 70]"
32,"[71, 72]"
33,"[73, 74]"
34,"[75, 76, 157, 381, 483, 484, 675, 1034, 1048, 1148, 1224, 1334, 1475, 1745, 1763, 1817, 1825, 1826, 1859, 1865, 1870, 1922, 2166, 2209, 2414]"
35,"[78, 79]"
36,"[81, 82]"
37,"[83, 84]"
38,"[85, 86]"
39,"[87, 88, 2163]"
40,"[89, 90, 1945]"
41,"[91, 92, 1622]"
42,"[93, 94]"
43,"[95, 96]"
44,"[97, 98, 1175, 1176, 1177, 1178, 1179, 1180, 1181, 1182, 1352, 2400]"
45,"[99, 100]"
46,"[101, 102]"
47,"[103, 104, 174]"
48,"[105, 106]"
49,"[107, 108, 177, 1506, 1944]"
50,"[109, 110]"
51,"[111, 112, 113, 1340]"
52,"[114, 115, 168, 169, 402, 403, 404, 405, 1756, 1898, 2190, 2203]"
53,"[116, 117, 554, 1304, 2217]"
54,"[118, 119]"
55,"[120, 121]"
56,"[125, 126, 1634, 1635, 2050]"
57,"[127, 128]"
58,"[131, 132]"
59,"[133, 134]"
60,"[135, 136]"
61,"[137, 138, 139, 1278]"
62,"[140, 141, 1174]"
63,"[142, 143, 347, 348]"
64,"[144, 145]"
65,"[146, 147, 148, 149, 150, 451, 1851, 2296, 2493]"
66,"[151, 152, 261, 2340]"
67,"[153, 154, 1610, 2216]"
68,"[155, 156, 380]"
69,"[160, 161]"
70,"[162, 163]"
71,"[166, 167]"
72,"[170, 171, 776]"
73,"[172, 173]"
74,"[175, 176, 840, 841]"
75,"[178, 179, 180, 637, 1386, 1596]"
76,"[181, 182]"
77,"[183, 184]"
78,"[185, 186, 964]"
79,"[187, 188]"
80,"[189, 190, 191, 988, 989]"
81,"[192, 193, 1946]"
82,"[194, 195, 990, 991, 1003, 1151, 1878]"
83,"[197, 198, 2321]"
84,"[199, 200]"
85,"[202, 203]"
86,"[207, 208]"
87,"[209, 210]"
88,"[211, 212]"
89,"[213, 214]"
90,"[216, 217, 2053]"
91,"[218, 219]"
92,"[220, 221, 847]"
93,"[222, 223, 422, 423, 850, 1173]"
94,"[224, 225]"
95,"[226, 227, 228, 1505, 1833]"
96,"[229, 230]"
97,"[232, 233]"
98,"[235, 236]"
99,"[237, 238]"
100,"[239, 240]"
101,"[241, 242]"
102,"[243, 244, 1641]"
103,"[246, 247]"
104,"[249, 250]"
105,"[252, 253, 1196]"
106,"[256, 257]"
107,"[259, 260]"
108,"[262, 263]"
109,"[264, 265]"
110,"[266, 267, 1274]"
111,"[268, 269]"
112,"[270, 271, 334, 335, 359]"
113,"[272, 273]"
114,"[275, 276]"
115,"[278, 279, 2249, 2250]"
116,"[281, 282]"
117,"[283, 284]"
118,"[285, 286]"
119,"[287, 288, 1751]"
120,"[289, 290]"
121,"[291, 292]"
122,"[293, 294]"
123,"[295, 296]"
124,"[298, 299]"
125,"[300, 301, 302, 585, 878, 1435]"
126,"[303, 304]"
127,"[305, 306, 2465]"
128,"[307, 308]"
129,"[309, 310]"
130,"[311, 312, 631, 632, 851, 852, 879, 1626]"
131,"[313, 314]"
132,"[315, 316]"
133,"[317, 318, 325, 1608, 1609, 1627, 2185, 2262]"
134,"[319, 320]"
135,"[321, 322]"
136,"[323, 324]"
137,"[328, 329]"
138,"[330, 331, 1707, 1708]"
139,"[332, 333]"
140,"[336, 337, 2343, 2344]"
141,"[338, 339]"
142,"[340, 341]"
143,"[342, 343]"
144,"[345, 346]"
145,"[349, 350]"
146,"[351, 352]"
147,"[353, 354, 550]"
148,"[355, 356, 842]"
149,"[357, 358]"
150,"[360, 361]"
151,"[362, 363]"
152,"[364, 365]"
153,"[367, 368]"
154,"[370, 371]"
155,"[372, 373]"
156,"[374, 375, 447, 448, 449, 1978, 2066]"
157,"[376, 377, 1237]"
158,"[378, 379, 551]"
159,"[383, 384]"
160,"[385, 386]"
161,"[388, 389]"
162,"[390, 391]"
163,"[392, 393]"
164,"[394, 395]"
165,"[396, 397]"
166,"[398, 399]"
167,"[400, 401]"
168,"[406, 407]"
169,"[408, 409, 676, 1134, 1135, 1249, 1510, 1889, 2385, 2432]"
170,"[410, 411]"
171,"[412, 413]"
172,"[414, 415]"
173,"[416, 417]"
174,"[418, 419, 1195, 1640]"
175,"[420, 421]"
176,"[424, 425, 1414]"
177,"[426, 427]"
178,"[428, 429]"
179,"[430, 431]"
180,"[432, 433, 1888]"
181,"[434, 435]"
182,"[436, 437, 1507, 2202]"
183,"[439, 440]"
184,"[442, 443, 1353, 1354, 1619]"
185,"[445, 446]"
186,"[452, 453]"
187,"[455, 456]"
188,"[457, 458]"
189,"[459, 460, 502, 503, 860, 861, 862, 863, 864, 865, 866, 1347, 1495, 1497, 2142, 2175, 2435]"
190,"[461, 462, 463]"
191,"[464, 465, 764]"
192,"[466, 467]"
193,"[468, 469]"
194,"[470, 471, 649]"
195,"[472, 473]"
196,"[474, 475]"
197,"[476, 477]"
198,"[479, 480]"
199,"[481, 482]"
200,"[485, 486, 635]"
201,"[487, 488, 779, 780]"
202,"[489, 490]"
203,"[491, 492]"
204,"[493, 494]"
205,"[495, 496]"
206,"[497, 498]"
207,"[499, 500]"
208,"[504, 505]"
209,"[506, 507]"
210,"[508, 509]"
211,"[510, 511]"
212,"[512, 513, 1633]"
213,"[514, 515]"
214,"[516, 517, 1692]"
215,"[521, 522]"
216,"[523, 524, 806]"
217,"[526, 527]"
218,"[528, 529, 1657]"
219,"[531, 532]"
220,"[534, 535]"
221,"[537, 538, 893, 894, 1269, 1409]"
222,"[539, 540, 715]"
223,"[542, 543]"
224,"[544, 545, 561, 1775]"
225,"[547, 548]"
226,"[552, 553]"
227,"[555, 556]"
228,"[558, 559, 560]"
229,"[563, 564, 1207, 2423]"
230,"[565, 566]"
231,"[568, 569]"
232,"[570, 571]"
233,"[574, 575, 853]"
234,"[576, 577]"
235,"[578, 579, 2510]"
236,"[580, 581]"
237,"[582, 583]"
238,"[587, 588]"
239,"[589, 590]"
240,"[593, 594]"
241,"[595, 596]"
242,"[597, 598, 1837]"
243,"[599, 600, 601]"
244,"[602, 603]"
245,"[604, 605]"
246,"[607, 608, 985]"
247,"[609, 610]"
248,"[611, 612]"
249,"[613, 614]"
250,"[615, 616]"
251,"[617, 618, 1440]"
252,"[619, 620]"
253,"[621, 622, 1953]"
254,"[623, 624]"
255,"[625, 626]"
256,"[628, 629]"
257,"[633, 634]"
258,"[638, 639]"
259,"[640, 641, 1083, 1782]"
260,"[643, 644, 922]"
261,"[645, 646]"
262,"[647, 648, 1478, 1479]"
263,"[650, 651]"
264,"[652, 653, 1426, 2413]"
265,"[654, 655]"
266,"[656, 657]"
267,"[658, 659]"
268,"[660, 661]"
269,"[662, 663]"
270,"[665, 666]"
271,"[667, 668]"
272,"[669, 670]"
273,"[671, 672]"
274,"[673, 674, 2218, 2393, 2394]"
275,"[677, 678]"
276,"[681, 682]"
277,"[683, 684]"
278,"[689, 690, 1956]"
279,"[691, 692]"
280,"[694, 695, 2412]"
281,"[696, 697, 789]"
282,"[698, 699, 2182]"
283,"[700, 701]"
284,"[702, 703]"
285,"[705, 706]"
286,"[707, 708, 1686]"
287,"[709, 710]"
288,"[711, 712, 2295]"
289,"[713, 714]"
290,"[716, 717, 1811, 1812]"
291,"[718, 719, 720]"
292,"[721, 722]"
293,"[723, 724]"
294,"[725, 726, 2452]"
295,"[727, 728]"
296,"[731, 732]"
297,"[733, 734]"
298,"[735, 736]"
299,"[737, 738, 1279, 1842]"
300,"[739, 740]"
301,"[741, 742, 2487]"
302,"[744, 745]"
303,"[746, 747]"
304,"[748, 749]"
305,"[750, 751, 752, 2320]"
306,"[753, 754]"
307,"[755, 756, 1357, 2451]"
308,"[757, 758]"
309,"[759, 760]"
310,"[761, 762]"
311,"[765, 766]"
312,"[767, 768]"
313,"[769, 770]"
314,"[771, 772]"
315,"[774, 775]"
316,"[777, 778, 1152]"
317,"[783, 784]"
318,"[785, 786, 2224]"
319,"[787, 788, 2092]"
