component,num_of_addrs,address_ids,modularity
0,2,"[0, 1]",0.0
1,2,"[2, 3]",0.0
2,2,"[4, 5]",0.0
3,2,"[6, 7]",0.0
4,2,"[8, 9]",0.0
5,3,"[10, 11, 12]",0.0
6,2,"[13, 14]",0.0
7,5,"[15, 16, 17, 18, 19]",0.0
8,3,"[20, 21, 22]",0.0
9,2,"[23, 24]",0.0
10,2,"[25, 26]",0.0
11,3,"[27, 28, 29]",0.0
12,2,"[30, 31]",0.0
13,2,"[32, 33]",0.0
14,3,"[34, 35, 36]",0.0
15,2,"[37, 38]",0.0
16,2,"[39, 40]",0.0
17,2,"[41, 42]",0.0
18,2,"[43, 44]",0.0
19,2,"[45, 46]",0.0
20,6,"[47, 48, 49, 188, 189, 309]",-0.04081632653061217
21,2,"[50, 51]",0.0
22,2,"[52, 53]",0.0
23,2,"[54, 55]",0.0
24,2,"[56, 57]",0.0
25,2,"[58, 59]",0.0
26,2,"[60, 61]",0.0
27,2,"[62, 63]",0.0
28,2,"[64, 65]",0.0
29,2,"[66, 67]",0.0
30,2,"[68, 69]",0.0
31,2,"[70, 71]",0.0
32,2,"[72, 73]",0.0
33,6,"[74, 75, 76, 77, 78, 79]",0.0
34,2,"[80, 81]",0.0
35,4,"[82, 83, 84, 85]",0.0
36,2,"[86, 87]",0.0
37,2,"[88, 89]",0.0
38,2,"[90, 91]",0.0
39,2,"[92, 93]",0.0
40,2,"[94, 95]",0.0
41,2,"[96, 97]",0.0
42,2,"[98, 99]",0.0
43,2,"[100, 101]",0.0
44,2,"[102, 103]",0.0
45,2,"[104, 105]",0.0
46,2,"[106, 107]",0.0
47,2,"[108, 109]",0.0
48,2,"[110, 111]",0.0
49,3,"[112, 113, 114]",0.0
50,2,"[115, 116]",0.0
51,2,"[117, 118]",0.0
52,2,"[119, 120]",0.0
53,2,"[121, 122]",0.0
54,2,"[123, 124]",0.0
55,9,"[125, 126, 141, 142, 197, 198, 221, 442, 480]",0.3046875
56,2,"[127, 128]",0.0
57,2,"[129, 130]",0.0
58,2,"[131, 132]",0.0
59,3,"[133, 134, 135]",0.0
60,3,"[136, 137, 138]",0.0
61,2,"[139, 140]",0.0
62,2,"[143, 144]",0.0
63,2,"[145, 146]",0.0
64,2,"[147, 148]",0.0
65,2,"[149, 150]",0.0
66,3,"[151, 152, 153]",0.0
67,2,"[154, 155]",0.0
68,2,"[156, 157]",0.0
69,2,"[158, 159]",0.0
70,3,"[160, 161, 162]",0.0
71,3,"[163, 164, 165]",0.0
