component,num_of_addrs,address_ids
0,4,"[0, 1, 2, 3]"
1,2,"[4, 5]"
2,4,"[6, 7, 25269, 69632]"
3,2,"[8, 9]"
