,count,file,n_nodes_graph,n_edges_graph
CoinJoinMess,9685,btc_sample_h0_edge_data,64071,530689
Instawallet.org,1328,btc_sample_h0_edge_data,64071,530689
BTC-e.com,973,btc_sample_h0_edge_data,64071,530689
Bitcoin.de,535,btc_sample_h0_edge_data,64071,530689
BTCC.com,393,btc_sample_h0_edge_data,64071,530689
Bitcoinica.com,393,btc_sample_h0_edge_data,64071,530689
VirWoX.com,354,btc_sample_h0_edge_data,64071,530689
Cavirtex.com,265,btc_sample_h0_edge_data,64071,530689
Bitstamp.net,252,btc_sample_h0_edge_data,64071,530689
BitPay.com,211,btc_sample_h0_edge_data,64071,530689
CampBX.com,206,btc_sample_h0_edge_data,64071,530689
BitcoinFog,168,btc_sample_h0_edge_data,64071,530689
Btcst.com-pirateat40,97,btc_sample_h0_edge_data,64071,530689
SealsWithClubs.eu,76,btc_sample_h0_edge_data,64071,530689
Bitmit.net,53,btc_sample_h0_edge_data,64071,530689
BetsOfBitco.in,46,btc_sample_h0_edge_data,64071,530689
Bitcash.cz,45,btc_sample_h0_edge_data,64071,530689
MercadoBitcoin.com.br,24,btc_sample_h0_edge_data,64071,530689
Just-Dice.com,10,btc_sample_h0_edge_data,64071,530689
TheRockTrading.com,7,btc_sample_h0_edge_data,64071,530689
BitMinter.com,2,btc_sample_h0_edge_data,64071,530689
