,count,file,n_nodes_graph,n_edges_graph
CoinJoinMess,9685,btc_sample_h0_edge_data,64071,563294
Instawallet.org,1328,btc_sample_h0_edge_data,64071,563294
BTC-e.com,973,btc_sample_h0_edge_data,64071,563294
Bitcoin.de,535,btc_sample_h0_edge_data,64071,563294
BTCC.com,393,btc_sample_h0_edge_data,64071,563294
Bitcoinica.com,393,btc_sample_h0_edge_data,64071,563294
VirWoX.com,354,btc_sample_h0_edge_data,64071,563294
Cavirtex.com,265,btc_sample_h0_edge_data,64071,563294
Bitstamp.net,252,btc_sample_h0_edge_data,64071,563294
BitPay.com,211,btc_sample_h0_edge_data,64071,563294
CampBX.com,206,btc_sample_h0_edge_data,64071,563294
BitcoinFog,168,btc_sample_h0_edge_data,64071,563294
Btcst.com-pirateat40,97,btc_sample_h0_edge_data,64071,563294
SealsWithClubs.eu,76,btc_sample_h0_edge_data,64071,563294
Bitmit.net,53,btc_sample_h0_edge_data,64071,563294
BetsOfBitco.in,46,btc_sample_h0_edge_data,64071,563294
Bitcash.cz,45,btc_sample_h0_edge_data,64071,563294
MercadoBitcoin.com.br,24,btc_sample_h0_edge_data,64071,563294
Just-Dice.com,10,btc_sample_h0_edge_data,64071,563294
TheRockTrading.com,7,btc_sample_h0_edge_data,64071,563294
BitMinter.com,2,btc_sample_h0_edge_data,64071,563294
