,count,file,n_nodes_graph,n_edges_graph
CoinJoinMess,10215,btc_sample_h0_h1_edge_data,117457,648423
Instawallet.org,1374,btc_sample_h0_h1_edge_data,117457,648423
BTC-e.com,1005,btc_sample_h0_h1_edge_data,117457,648423
Bitcoin.de,567,btc_sample_h0_h1_edge_data,117457,648423
Bitcoinica.com,402,btc_sample_h0_h1_edge_data,117457,648423
BTCC.com,398,btc_sample_h0_h1_edge_data,117457,648423
VirWoX.com,357,btc_sample_h0_h1_edge_data,117457,648423
Bitstamp.net,275,btc_sample_h0_h1_edge_data,117457,648423
Cavirtex.com,270,btc_sample_h0_h1_edge_data,117457,648423
BitPay.com,247,btc_sample_h0_h1_edge_data,117457,648423
CampBX.com,209,btc_sample_h0_h1_edge_data,117457,648423
BitcoinFog,183,btc_sample_h0_h1_edge_data,117457,648423
Btcst.com-pirateat40,99,btc_sample_h0_h1_edge_data,117457,648423
SealsWithClubs.eu,81,btc_sample_h0_h1_edge_data,117457,648423
Bitmit.net,55,btc_sample_h0_h1_edge_data,117457,648423
BetsOfBitco.in,50,btc_sample_h0_h1_edge_data,117457,648423
Bitcash.cz,45,btc_sample_h0_h1_edge_data,117457,648423
MercadoBitcoin.com.br,29,btc_sample_h0_h1_edge_data,117457,648423
Just-Dice.com,11,btc_sample_h0_h1_edge_data,117457,648423
TheRockTrading.com,8,btc_sample_h0_h1_edge_data,117457,648423
Eligius.st,3,btc_sample_h0_h1_edge_data,117457,648423
MPEx.co,3,btc_sample_h0_h1_edge_data,117457,648423
OrderBook.net,2,btc_sample_h0_h1_edge_data,117457,648423
BitMinter.com,2,btc_sample_h0_h1_edge_data,117457,648423
MyBitcoin.com,1,btc_sample_h0_h1_edge_data,117457,648423
