,Unnamed: 0.1,Unnamed: 0,total edge splits,total component splits,number_of_components,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp
0,0,0,70,1,2,0.7090750365884682,0.7725364056911939,0,0,22,15874
1,1,1,210,2,3,0.7056667517816814,0.7725364056911939,0,0,22,15874
2,2,2,221,3,4,0.7069381955437696,0.7725364056911939,2,0,22,15874
3,3,3,281,4,5,0.706996084243414,0.7725364056911939,2,0,22,15874
4,4,4,361,5,6,0.7070528860568093,0.7725364056911939,115,0,22,15874
5,5,5,401,6,7,0.7071126748926181,0.7725364056911939,115,0,22,15874
6,6,6,481,7,9,0.7070828665641777,0.7725364056911939,115,0,22,15874
7,7,7,501,8,10,0.7070945161972613,0.7725364056911939,119,0,22,15874
8,8,8,703,9,11,0.7073392230366704,0.7725364056911939,119,0,22,15874
9,9,9,713,10,12,0.7050251945086303,0.7725364056911939,119,0,22,15874
10,10,10,806,11,13,0.7051505325096935,0.7725364056911939,119,0,22,15874
11,11,11,916,12,14,0.7051300297267225,0.7725364056911939,119,0,22,15874
12,12,12,926,13,15,0.7073297817189663,0.7725364056911939,119,0,22,15874
13,13,13,946,14,16,0.7073191720307404,0.7725364056911939,123,0,22,15874
14,14,14,1126,15,17,0.7082763083052712,0.7725364056911939,123,0,22,15874
15,15,15,1166,16,18,0.7082178754086702,0.7725364056911939,128,0,22,15874
16,16,16,1206,17,20,0.7074161792941778,0.7725364056911939,130,0,22,15874
17,17,17,1236,18,21,0.708113017513857,0.7725364056911939,130,0,22,15874
18,18,18,1397,19,22,0.708359626807327,0.7725364056911939,130,0,22,15874
19,19,19,1458,20,23,0.7086936230200397,0.7725364056911939,130,0,22,15874
20,20,20,1548,21,24,0.7095307427181078,0.7725364056911939,350,0,22,15874
21,21,21,1558,22,25,0.7097065585276,0.7725364056911939,350,0,22,15874
22,22,22,1578,23,26,0.7096541435180965,0.7725364056911939,350,0,22,15874
