,total edge splits,total component splits,number_of_components,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp
0,380,1,2,0.843185745594829,0.846466696433448,0,0,24,12707
1,530,2,3,0.8389788854714492,0.846466696433448,0,0,24,12707
2,661,3,4,0.839408442503422,0.846466696433448,8,0,24,12707
3,681,4,5,0.8389223013974434,0.846466696433448,8,0,24,12707
4,691,5,7,0.8392508607409781,0.846466696433448,1366,0,24,12707
5,761,6,8,0.8394932534750529,0.846466696433448,1368,0,24,12707
6,771,7,9,0.8429714898696036,0.846466696433448,1368,0,24,12707
7,781,8,10,0.842973085237285,0.846466696433448,1368,0,24,12707
8,851,9,11,0.8436393168752827,0.846466696433448,1368,0,24,12707
9,941,10,12,0.8402608683754658,0.846466696433448,1368,0,24,12707
10,981,11,13,0.8401419897291861,0.846466696433448,1368,0,24,12707
11,1051,12,14,0.8393475508956129,0.846466696433448,1370,0,24,12707
12,1091,13,15,0.8404831145765184,0.846466696433448,1370,0,24,12707
13,1101,14,17,0.840147571482441,0.846466696433448,1378,0,24,12707
14,1131,15,18,0.8406360918566025,0.846466696433448,1378,0,24,12707
15,1211,16,19,0.8406665934294875,0.846466696433448,1378,0,24,12707
16,1221,17,20,0.8404216340523801,0.846466696433448,1378,0,24,12707
17,1231,18,22,0.8398886351201081,0.846466696433448,1378,0,24,12707
18,1241,19,23,0.8397288246762963,0.846466696433448,1381,0,24,12707
19,1251,20,25,0.8397208446563974,0.846466696433448,1381,0,24,12707
20,1321,21,26,0.8399975267663503,0.846466696433448,1381,0,24,12707
21,1331,22,27,0.8432788159826358,0.846466696433448,1381,0,24,12707
22,1391,23,28,0.8432200437352021,0.846466696433448,1381,0,24,12707
23,1431,24,30,0.8434406023884798,0.846466696433448,1381,0,24,12707
24,1471,25,31,0.8400855584838184,0.846466696433448,1381,0,24,12707
