,total edge splits,total component splits,number_of_components,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp
0,190,1,2,0.7728297844224061,0.7784781187843902,0,0,23,13417
1,200,2,3,0.773623860085373,0.7784781187843902,5,0,23,13417
2,260,3,4,0.7727991016145529,0.7784781187843902,5,0,23,13417
3,380,4,5,0.7742443909923963,0.7784781187843902,5,0,23,13417
4,440,5,6,0.8208647852579736,0.7784781187843902,5,0,23,13417
5,600,6,8,0.7661437729706576,0.7784781187843902,5,0,23,13417
6,610,7,10,0.7693182291290872,0.7784781187843902,16,0,23,13417
7,630,8,12,0.7759555963731847,0.7784781187843902,16,0,23,13417
8,670,9,13,0.7760824031982433,0.7784781187843902,16,0,23,13417
9,690,10,14,0.7760361822575897,0.7784781187843902,16,0,23,13417
10,710,11,16,0.7762155206697134,0.7784781187843902,16,0,23,13417
11,740,12,17,0.7765538125939911,0.7784781187843902,22,0,23,13417
12,810,13,18,0.7763944170423817,0.7784781187843902,22,0,23,13417
13,910,14,19,0.7758237934936142,0.7784781187843902,24,0,23,13417
14,970,15,20,0.773572355477773,0.7784781187843902,24,0,23,13417
15,980,16,21,0.7645189038861346,0.7784781187843902,24,0,23,13417
16,990,17,22,0.764717691445697,0.7784781187843902,24,0,23,13417
17,1010,18,25,0.7726131024669067,0.7784781187843902,24,0,23,13417
18,1030,19,26,0.769437824979029,0.7784781187843902,24,0,23,13417
19,1040,20,27,0.7692292605979154,0.7784781187843902,24,0,23,13417
20,1050,21,29,0.7691697390290104,0.7784781187843902,44,0,23,13417
21,1060,22,32,0.7643118992340925,0.7784781187843902,44,0,23,13417
22,1071,23,35,0.7672935367066787,0.7784781187843902,50,0,23,13417
23,1091,24,36,0.76857401381322,0.7784781187843902,50,0,23,13417
