iter_idx,total edge splits,total component splits,number_of_components,number_of_communities,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp,ami,ars,urs,homog
0,200,1,3,893,0.12490696055499124,0.10225985940281712,13761,0,24,59535,0.0,0.0,0.4009132862842918,0.0
1,300,2,7,139,0.30833574016199433,0.10225985940281712,13761,0,24,59535,0.0,0.0,0.4009132862842918,0.0
2,400,3,11,45,0.25026149765865624,0.10225985940281712,13761,0,24,59535,0.0,0.0,0.4009132862842918,0.0
3,600,4,15,50,0.6142763077718566,0.10225985940281712,13761,0,24,59535,0.0,0.0,0.4009132862842918,0.0
4,700,5,16,34,0.4904346388414684,0.10225985940281712,13761,0,24,59535,0.0,0.0,0.4009132862842918,0.0
5,800,6,19,34,0.2243096832461054,0.10225985940281712,13761,0,24,59535,0.0,0.0,0.4009132862842918,0.0
6,900,7,22,47,0.2891302100422047,0.10225985940281712,13761,0,24,59535,0.0,0.0,0.4009132862842918,0.0
7,1000,8,24,60,0.46105324327164277,0.10225985940281712,13761,0,24,59535,0.00034671690128181747,0.00019206383241329803,0.40105714582667906,0.0002461372183672907
8,1100,9,28,49,0.561245811018094,0.10225985940281712,13760,0,24,59535,0.0003467534509049954,0.00019211337975031227,0.40110154114769697,0.00024616079664807735
9,1200,10,34,72,0.43488206965970305,0.10225985940281712,13758,0,24,59535,0.02171721411599423,0.008317859485930777,0.4071897616345717,0.011361234619944446
10,1300,11,36,69,0.5840947122601442,0.10225985940281712,13758,0,24,59535,0.02171721411599423,0.008317859485930777,0.4071897616345717,0.011361234619944446
11,1400,12,44,72,0.5947407577398578,0.10225985940281712,13758,0,24,59535,0.02171721411599423,0.008317859485930777,0.4071897616345717,0.011361234619944446
12,1500,13,45,64,0.5599414340633675,0.10225985940281712,13758,0,24,59535,0.02171721411599423,0.008317859485930777,0.4071897616345717,0.011361234619944446
13,1600,14,47,70,0.5060281165539542,0.10225985940281712,13758,0,24,59535,0.02171721411599423,0.008317859485930777,0.4071897616345717,0.011361234619944446
14,1700,15,56,91,0.6206186143099562,0.10225985940281712,13758,0,24,59535,0.03950074322042859,0.013687594998110125,0.4112162994254848,0.020540464722005738
15,1800,16,59,89,0.3574559187421041,0.10225985940281712,13757,0,24,59535,0.0395050794537783,0.013691328840150096,0.4112652010429098,0.020542774720881708
16,1900,17,63,99,0.6322526125385408,0.10225985940281712,13757,0,24,59535,0.0395050794537783,0.013691328840150096,0.4112652010429098,0.020542774720881708
