iter_idx,total edge splits,total component splits,number_of_components,number_of_communities,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp,ami,ars,urs,homog
0,100,1,2,1191,0.6966228004704026,0.5413091544849608,14737,0,22,70424,0.0,0.0,0.3885017690189708,0.0
1,200,2,3,208,0.3255343736293023,0.5413091544849608,14737,0,22,70424,0.0,0.0,0.3885017690189708,0.0
2,300,3,4,62,0.5301198024515372,0.5413091544849608,14737,0,22,70424,0.0,0.0,0.3885017690189708,0.0
3,400,4,7,41,0.290282624868082,0.5413091544849608,14737,0,22,70424,0.0,0.0,0.3885017690189708,0.0
4,600,5,8,72,0.26874490088391473,0.5413091544849608,14736,0,22,70424,0.0,0.0,0.3885401871720703,0.0
5,700,6,10,48,0.30711498392807585,0.5413091544849608,14735,0,22,70424,0.0,0.0,0.3885786213881556,0.0
6,800,7,12,53,0.0326378162834723,0.5413091544849608,14735,0,22,70424,0.0,0.0,0.3885786213881556,0.0
7,1000,8,14,92,0.4483806933290553,0.5413091544849608,14731,0,22,70424,0.0,0.0,0.3885284244083407,0.0
8,1100,9,16,65,0.7881958309658136,0.5413091544849608,14731,0,22,70424,0.0,0.0,0.3885284244083407,0.0
9,1200,10,19,54,0.48344737862910475,0.5413091544849608,14731,0,22,70424,0.0,0.0,0.3885284244083407,0.0
10,1300,11,23,55,0.3464712192457312,0.5413091544849608,14731,0,22,70424,0.0,0.0,0.3885284244083407,0.0
11,1400,12,30,76,0.40187771211028367,0.5413091544849608,14731,0,22,70424,0.0,0.0,0.3885284244083407,0.0
12,1500,13,32,72,0.3286369593105102,0.5413091544849608,14730,0,22,70424,0.0,0.0,0.38857128081417724,0.0
13,1600,14,36,92,0.6336683077725518,0.5413091544849608,14730,0,22,70424,0.0,0.0,0.38857128081417724,0.0
14,1700,15,42,85,0.47709783052942073,0.5413091544849608,14730,0,22,70424,0.07718914948201676,0.030557780671636413,0.4125856426609793,0.0405920801242597
15,1800,16,46,94,0.3119562857806924,0.5413091544849608,14729,0,22,70424,0.07720173555038734,0.030566366001608496,0.4126381573684907,0.0405989907873854
16,1900,17,52,95,0.618998708727359,0.5413091544849608,14728,0,22,70424,0.07720900676526044,0.03057390931691862,0.41268260505236587,0.04060297927223298
17,2000,18,57,110,0.43016368329402327,0.5413091544849608,14727,0,22,70424,0.07720963299082122,0.030572198938839647,0.412654685782394,0.04060332777861072
18,2100,19,59,106,0.3992418891162497,0.5413091544849608,14726,0,22,70424,0.07721025931839882,0.030570488384970205,0.41262676434528905,0.04060367634158029
19,2200,20,60,104,0.3616011907439454,0.5413091544849608,14726,0,22,70424,0.07721025931839882,0.030570488384970205,0.41262676434528905,0.04060367634158029
