,component,num_of_addrs
0,0,25
1,1,28
2,2,2080564
3,3,121
4,4,50
5,5,241
6,6,3
7,7,2
8,8,1135
9,9,3
10,10,45
11,11,6
12,12,42
13,13,11
14,14,2
15,15,2
16,16,8
17,17,7
18,18,3
19,19,4
20,20,233
21,21,2
22,22,3
23,23,50
24,24,4
25,25,50
26,26,50
27,27,57
28,28,2
29,29,5
30,30,2
31,31,5
32,32,11
33,33,6
34,34,43
35,35,2
36,36,2
37,37,13
38,38,4
39,39,40
40,40,2
41,41,21
42,42,4
43,43,56
44,44,12
45,45,85
46,46,17
47,47,2
48,48,115
49,49,4
50,50,9
51,51,298
52,52,19
53,53,15
54,54,22
55,55,10
56,56,82
57,57,4
58,58,15
59,59,11
60,60,12
61,61,5
62,62,16
63,63,35
64,64,50
65,65,5
66,66,4
67,67,50
68,68,50
69,69,63
70,70,12
71,71,5
72,72,2
73,73,7
74,74,89
75,75,60
76,76,17
77,77,3
78,78,2
79,79,21
80,80,3
81,81,2
82,82,311
83,83,50
84,84,50
85,85,50
86,86,50
87,87,50
88,88,50
89,89,50
90,90,50
91,91,50
92,92,50
93,93,50
94,94,50
95,95,50
96,96,50
97,97,50
98,98,50
99,99,31
100,100,39
101,101,24
102,102,2
103,103,16
104,104,86
105,105,23
106,106,29
107,107,6
108,108,8
109,109,19
110,110,10
111,111,60
112,112,10
113,113,2
114,114,3
115,115,2
116,116,2
117,117,6
118,118,2
119,119,2
120,120,12
121,121,2
122,122,3
123,123,74
124,124,3
125,125,8
126,126,11
127,127,25
128,128,3
129,129,2
130,130,245
131,131,5
132,132,25
133,133,25
134,134,44
135,135,5
136,136,4
137,137,11
138,138,3
139,139,8
140,140,5
141,141,87
142,142,11
143,143,10
144,144,8
145,145,10
146,146,14
147,147,925
148,148,29
149,149,14
150,150,33
151,151,3
152,152,11
153,153,2
154,154,3
155,155,47
156,156,15
157,157,27
158,158,7
159,159,7
160,160,2
161,161,36
162,162,90
163,163,5
164,164,5
165,165,5
166,166,119
167,167,5
168,168,9
169,169,6
170,170,5
171,171,17
172,172,35
173,173,18
174,174,3
175,175,4
176,176,4
177,177,2
178,178,12
179,179,36
180,180,67
181,181,42
182,182,2
183,183,82
184,184,6
185,185,2
186,186,88
187,187,561
188,188,2
189,189,4
190,190,193
191,191,2
192,192,12
193,193,31
194,194,30
195,195,21
196,196,2
197,197,2
198,198,9
199,199,59
200,200,2
201,201,2
202,202,30
203,203,19
204,204,39
205,205,107
206,206,12
207,207,5
208,208,15
209,209,86
210,210,40
211,211,49
212,212,10
213,213,9
214,214,2
215,215,69
216,216,26
217,217,4
218,218,46
219,219,3
220,220,23
221,221,42
222,222,33
223,223,6
224,224,5
225,225,79
226,226,173
227,227,6
228,228,70
229,229,5
230,230,66
231,231,27
232,232,11
233,233,5
234,234,2
235,235,17
236,236,67
237,237,22
238,238,26
239,239,8
240,240,43
241,241,61
242,242,69
243,243,44
244,244,6
245,245,56
246,246,8
247,247,34
248,248,66
249,249,79
250,250,13
251,251,27
252,252,37
253,253,4
