,component,num_of_addrs
0,0,25
1,1,5
2,2,50
3,3,625
4,4,57
5,5,3
6,6,2
7,7,8
8,8,7
9,9,3
10,10,176
11,11,2
12,12,3
13,13,6
14,14,50
15,15,4
16,16,50
17,17,50
18,18,50
19,19,7
20,20,2
21,21,5
22,22,594
23,23,478
24,24,2
25,25,5
26,26,11
27,27,6
28,28,43
29,29,96
30,30,4
31,31,4
32,32,44
33,33,7
34,34,3
35,35,4
36,36,80
37,37,2
38,38,2
39,39,2
40,40,2
41,41,3
42,42,5
43,43,21
44,44,55
45,45,16
46,46,13
47,47,50
48,48,5
49,49,4
50,50,50
51,51,50
52,52,257
53,53,12
54,54,5
55,55,2
56,56,3
57,57,3
58,58,7
59,59,3
60,60,2
61,61,21
62,62,3
63,63,19
64,64,2
65,65,2
66,66,7
67,67,309
68,68,50
69,69,50
70,70,50
71,71,50
72,72,50
73,73,50
74,74,50
75,75,50
76,76,50
77,77,50
78,78,50
79,79,50
80,80,50
81,81,50
82,82,50
83,83,50
84,84,2
85,85,5
86,86,2
87,87,2
88,88,2
89,89,3
90,90,2
91,91,2
92,92,3
93,93,2
94,94,2
95,95,3
96,96,2
97,97,3
98,98,2
99,99,15
100,100,6
101,101,8
102,102,2
103,103,3
104,104,2
105,105,2
106,106,4
107,107,10
108,108,2
109,109,60
110,110,10
111,111,18
112,112,2
113,113,2
114,114,5
115,115,2
116,116,2
117,117,102
118,118,2
119,119,25
120,120,25
121,121,2
122,122,3
123,123,4
124,124,139
125,125,2
126,126,3
127,127,3
128,128,4
129,129,5
130,130,4
131,131,3
132,132,2
133,133,3
134,134,8
135,135,4
136,136,4
137,137,2
138,138,2
139,139,2
140,140,2
141,141,3
142,142,3
143,143,6
144,144,27
145,145,10
146,146,2
147,147,2
148,148,6
149,149,8
150,150,2
151,151,2
152,152,3
153,153,2
154,154,2
155,155,2
156,156,3
157,157,4
158,158,4
159,159,4
160,160,4
161,161,2
162,162,2
163,163,2
164,164,2
165,165,2
166,166,3
167,167,6
168,168,2
169,169,4
170,170,2
171,171,3
172,172,3
173,173,2
174,174,2
175,175,3
176,176,2
177,177,2
178,178,2
179,179,3
180,180,11
181,181,3
182,182,3
183,183,3
184,184,2
185,185,2
186,186,4
187,187,3
188,188,4
189,189,2
190,190,3
191,191,2
192,192,5
193,193,5
194,194,2
195,195,3
196,196,10
197,197,2
198,198,5
199,199,3
200,200,2
201,201,3
202,202,2
203,203,2
204,204,5
205,205,2
206,206,3
207,207,2
208,208,2
209,209,4
210,210,2
211,211,2
212,212,2
213,213,2
214,214,2
215,215,2
216,216,2
217,217,4
218,218,3
219,219,5
220,220,3
221,221,5
222,222,7
223,223,2
224,224,4
225,225,2
226,226,2
227,227,2
228,228,2
229,229,3
230,230,2
231,231,2
232,232,2
233,233,2
234,234,4
235,235,2
236,236,4
237,237,2
238,238,2
239,239,2
240,240,2
241,241,2
242,242,5
243,243,2
244,244,4
245,245,2
246,246,3
247,247,2
248,248,2
249,249,2
250,250,3
251,251,2
252,252,2
253,253,2
254,254,5
255,255,2
256,256,2
257,257,2
258,258,2
259,259,6
260,260,3
261,261,5
262,262,2
263,263,2
264,264,2
265,265,2
266,266,2
267,267,3
268,268,3
269,269,3
270,270,2
271,271,2
272,272,2
273,273,36
274,274,5
275,275,4
276,276,2
277,277,2
278,278,5
279,279,2
280,280,2
281,281,2
282,282,3
283,283,2
284,284,2
285,285,3
286,286,2
287,287,13
288,288,7
289,289,2
290,290,2
291,291,2
292,292,2
293,293,2
294,294,2
295,295,5
296,296,2
297,297,2
298,298,2
299,299,5
300,300,5
301,301,2
302,302,2
303,303,7
304,304,2
305,305,2
306,306,3
307,307,4
308,308,18
309,309,3
310,310,5
311,311,2
312,312,2
313,313,2
314,314,2
315,315,3
316,316,3
317,317,4
318,318,2
319,319,2
320,320,2
321,321,2
322,322,3
323,323,2
324,324,5
325,325,4
326,326,2
327,327,5
328,328,3
329,329,2
330,330,2
331,331,2
332,332,2
333,333,6
334,334,2
335,335,2
336,336,2
337,337,2
338,338,2
339,339,2
340,340,2
341,341,12
342,342,2
343,343,4
344,344,5
345,345,2
346,346,2
347,347,2
348,348,3
349,349,3
350,350,2
351,351,3
352,352,2
353,353,2
354,354,2
355,355,2
356,356,6
357,357,2
358,358,2
359,359,2
360,360,5
361,361,2
362,362,3
363,363,2
364,364,2
365,365,2
366,366,2
367,367,2
368,368,2
369,369,4
370,370,6
371,371,5
372,372,3
373,373,2
374,374,2
375,375,2
376,376,2
377,377,5
378,378,2
379,379,2
380,380,5
381,381,2
382,382,2
383,383,3
384,384,2
385,385,2
386,386,3
387,387,2
388,388,2
389,389,2
390,390,2
391,391,4
392,392,2
393,393,2
394,394,5
395,395,3
396,396,3
397,397,5
398,398,2
399,399,2
400,400,9
401,401,5
402,402,5
403,403,2
404,404,3
405,405,7
406,406,2
407,407,3
408,408,2
409,409,6
410,410,2
411,411,2
412,412,2
413,413,3
414,414,2
415,415,2
416,416,2
417,417,2
418,418,3
419,419,3
420,420,2
421,421,3
422,422,4
423,423,2
