,component,num_of_addrs
0,0,3
1,1,2457617
2,2,24
3,3,15
4,4,2
5,5,7
6,6,2
7,7,2
8,8,3
9,9,2
10,10,2
11,11,2
12,12,6
13,13,2
14,14,5
15,15,9
16,16,4
17,17,7
18,18,2
19,19,85
20,20,4
21,21,3
22,22,5
23,23,3
24,24,3
25,25,3
26,26,2
27,27,2
28,28,2
29,29,3
30,30,2
31,31,4
32,32,11
33,33,3
34,34,5
35,35,2
36,36,2
37,37,11
38,38,2
39,39,3
40,40,4
41,41,3
42,42,2
43,43,5
44,44,10
45,45,3
46,46,5
47,47,11
48,48,88
49,49,6
50,50,3
51,51,2
52,52,2
53,53,169
54,54,2
55,55,4
56,56,2
57,57,2
58,58,2
59,59,6
60,60,2
61,61,2
62,62,3
63,63,8
64,64,9
65,65,6
66,66,3
67,67,3
68,68,3
69,69,8
70,70,2
71,71,4
72,72,2
73,73,2
74,74,9
75,75,6
76,76,3
77,77,2
78,78,2
79,79,4
80,80,3
81,81,3
82,82,2
83,83,13
84,84,5
85,85,4
86,86,2
87,87,2
88,88,10
89,89,2
90,90,90
91,91,3
92,92,3
93,93,2
94,94,7
95,95,2
96,96,2
97,97,2
98,98,2
99,99,2
100,100,2
101,101,2
102,102,2
103,103,2
104,104,2
105,105,2
106,106,3
107,107,2
108,108,2
109,109,3
110,110,4
111,111,2
112,112,2
113,113,2
114,114,2
115,115,22
116,116,2
117,117,2
118,118,16
119,119,2
120,120,2
121,121,2
122,122,5
123,123,11
124,124,2
125,125,3
126,126,2
127,127,129
128,128,2
129,129,3
130,130,2
131,131,2
132,132,17
133,133,8
134,134,2
135,135,3
136,136,2
137,137,5
138,138,3
139,139,5
140,140,3
141,141,43
142,142,2
143,143,2
144,144,2
145,145,3
146,146,3
147,147,3
148,148,5
149,149,15
150,150,7
151,151,10
152,152,8
153,153,3
154,154,2
155,155,2
156,156,2
157,157,2
158,158,2
159,159,2
160,160,3
161,161,4
162,162,2
163,163,7
164,164,4
165,165,53
166,166,2
167,167,2
168,168,2
169,169,2
170,170,2
171,171,2
172,172,4
173,173,2
174,174,2
175,175,5
176,176,2
177,177,4
178,178,3
179,179,2
180,180,9
181,181,2
182,182,3
183,183,38
184,184,9
185,185,3
186,186,2
187,187,4
188,188,2
189,189,8
190,190,7
191,191,2
192,192,5
193,193,2
194,194,2
195,195,5
196,196,5
197,197,18
198,198,2
199,199,2
200,200,4
201,201,2
202,202,4
203,203,6
204,204,31
205,205,2
206,206,2
207,207,3
208,208,2
209,209,2
210,210,2
211,211,6
212,212,2
213,213,2
214,214,5
215,215,2
216,216,2
217,217,2
218,218,4
219,219,3
220,220,7
221,221,4
222,222,3
223,223,3
224,224,2
225,225,2
226,226,3
227,227,2
228,228,2
229,229,5
230,230,3
231,231,7
232,232,3
233,233,3
234,234,5
235,235,2
236,236,3
237,237,3
238,238,2
239,239,8
240,240,2
241,241,2
242,242,8
243,243,3
244,244,3
245,245,6
246,246,7
247,247,7
248,248,7
249,249,4
250,250,8
251,251,13
252,252,2
253,253,2
254,254,2
255,255,5
256,256,2
257,257,4
258,258,9
259,259,9
260,260,2
261,261,2
262,262,2
263,263,2
264,264,2
265,265,20
266,266,3
267,267,2
268,268,3
269,269,2
270,270,4
271,271,2
272,272,4
273,273,3
274,274,49
275,275,2
276,276,22
277,277,3
278,278,2
279,279,7
280,280,23
281,281,9
282,282,2
283,283,2
284,284,3
285,285,3
286,286,2
287,287,5
288,288,36
289,289,4
290,290,3
291,291,18
292,292,2
293,293,3
294,294,7
295,295,2
296,296,4
297,297,12
298,298,3
299,299,6
300,300,7
301,301,5
302,302,3
303,303,7
304,304,4
305,305,8
306,306,25
307,307,2
308,308,4
309,309,3
310,310,8
311,311,2
312,312,2
313,313,4
314,314,8
315,315,2
316,316,4
317,317,2
318,318,12
319,319,2
320,320,5
321,321,6
322,322,2
323,323,2
324,324,2
325,325,2
326,326,2
327,327,32
328,328,2
329,329,2
330,330,9
331,331,13
332,332,8
333,333,3
334,334,2
335,335,2
336,336,2
337,337,8
338,338,7
339,339,6
340,340,2
341,341,2
342,342,2
343,343,4
344,344,2
