,component,num_of_addrs
0,0,11431
1,1,2
2,2,2
3,3,24
4,4,18320
5,5,4
6,6,2
7,7,4
8,8,2
9,9,4
10,10,4
11,11,2
12,12,2
13,13,42
14,14,2
15,15,2
16,16,2
17,17,2
18,18,2
19,19,2
20,20,2
21,21,2
22,22,2
23,23,2036
24,24,2
25,25,6
26,26,3
27,27,2
28,28,3
29,29,5
30,30,3
31,31,2
32,32,2
33,33,2
34,34,2
35,35,4
36,36,4
37,37,4
38,38,2
39,39,2
40,40,2
41,41,2
42,42,3
43,43,4
44,44,2
45,45,3
46,46,3
47,47,3
48,48,2
49,49,4
50,50,3
51,51,2
52,52,2
53,53,5
54,54,2
55,55,2
56,56,2
57,57,2
58,58,2
59,59,6
60,60,2
61,61,4
62,62,2
63,63,4
64,64,3
65,65,4
66,66,2
67,67,2
68,68,2
69,69,2
70,70,2
71,71,3
72,72,3
73,73,2
74,74,5
75,75,2
76,76,3
77,77,2
78,78,2
79,79,3
80,80,9
81,81,3
82,82,2
83,83,7
84,84,2
85,85,2
86,86,2
87,87,5
88,88,2
89,89,2
90,90,3
91,91,3
92,92,6
93,93,9
94,94,3
95,95,4
96,96,2
97,97,4
98,98,4
99,99,3
100,100,2
101,101,3
102,102,3
103,103,3
104,104,4
105,105,2
106,106,3
107,107,2
108,108,2
109,109,2
110,110,3
111,111,4
112,112,2
113,113,4
114,114,2
115,115,6
116,116,2
117,117,5
118,118,2
119,119,3
120,120,5
121,121,2
122,122,3
123,123,2
124,124,2
125,125,2
126,126,2
127,127,4
128,128,5
129,129,2
130,130,2
131,131,2
132,132,3
133,133,4
134,134,2
135,135,3
136,136,2
137,137,2
138,138,3
139,139,2
140,140,7
141,141,2
142,142,3
143,143,3
144,144,2
145,145,3
146,146,2
147,147,4
148,148,2
149,149,4
150,150,2
151,151,2
152,152,3
153,153,3
154,154,2
155,155,2
156,156,2
157,157,6
158,158,4
159,159,2
160,160,5
161,161,4
162,162,2
163,163,6
164,164,4
165,165,2
166,166,2
167,167,2
168,168,2
169,169,3
170,170,2
171,171,3
172,172,2
173,173,2
174,174,2
175,175,2
176,176,2
177,177,2
178,178,2
179,179,2
180,180,8
181,181,403
182,182,2
183,183,4
184,184,2
185,185,2
186,186,2
187,187,3
188,188,2
189,189,3
190,190,2
191,191,2
192,192,2
193,193,2
194,194,2
195,195,3
196,196,2
197,197,5
198,198,3
199,199,3
200,200,3
201,201,6
202,202,2
203,203,2
204,204,5
205,205,5
206,206,3
207,207,2
208,208,2
209,209,5
210,210,6
211,211,2
212,212,2
213,213,2
214,214,2
215,215,2
216,216,5
217,217,2
218,218,2
219,219,7
220,220,2
221,221,2
222,222,3
223,223,2
224,224,6
225,225,2
226,226,3
227,227,2
228,228,3
229,229,2
230,230,3
231,231,4
232,232,2
233,233,2
234,234,2
235,235,2
236,236,2
237,237,4
238,238,3
239,239,2
240,240,2
241,241,3
242,242,2
243,243,2
244,244,2
245,245,3
246,246,2
247,247,2
248,248,2
249,249,2
250,250,2
251,251,3
252,252,2
253,253,3
254,254,2
255,255,2
256,256,3
257,257,2
258,258,2
259,259,2
260,260,2
261,261,4
262,262,2
263,263,2
264,264,4
265,265,2
266,266,2
267,267,2
268,268,4
269,269,2
270,270,2
271,271,2
272,272,2
273,273,3
274,274,2
275,275,2
276,276,2
277,277,2
278,278,2
279,279,2
280,280,3
281,281,5
282,282,2
283,283,2
284,284,2
285,285,2
286,286,2
287,287,4
288,288,2
289,289,3
290,290,6
291,291,2
292,292,2
293,293,2
294,294,9
295,295,2
296,296,2
297,297,2
298,298,2
299,299,3
300,300,3
301,301,2
302,302,2
303,303,3
304,304,2
305,305,2
306,306,2
307,307,5
308,308,8
309,309,2
310,310,2
311,311,3
312,312,2
313,313,2
314,314,4
315,315,2
316,316,2
317,317,2
318,318,2
319,319,6
320,320,3
321,321,2
322,322,2
323,323,6
324,324,3
325,325,7
326,326,2
327,327,6
328,328,3
329,329,5
330,330,2
331,331,5
332,332,2
333,333,2
334,334,3
335,335,3
336,336,4
337,337,2
338,338,3
339,339,2
340,340,3
341,341,2
342,342,168
343,343,2
344,344,4
345,345,2
346,346,2
347,347,2
348,348,3
349,349,3
350,350,2
351,351,3
352,352,3
353,353,4
354,354,4
355,355,2
356,356,2
357,357,2
358,358,3
359,359,2
360,360,5
361,361,2
362,362,2
363,363,2
364,364,2
365,365,2
366,366,2
367,367,2
368,368,2
369,369,2
370,370,2
371,371,2
372,372,2
373,373,2
374,374,2
375,375,2
376,376,4
377,377,4
378,378,2
379,379,6
380,380,2
381,381,5
382,382,3
383,383,2
384,384,2
385,385,2
386,386,2
387,387,2
388,388,2
389,389,2
390,390,3
391,391,2
392,392,2
393,393,4
394,394,3
395,395,7
396,396,2
397,397,2
398,398,7
399,399,4
400,400,2
401,401,4
402,402,2
403,403,2
404,404,3
405,405,2
406,406,3
407,407,2
408,408,2
409,409,2
410,410,2
411,411,2
412,412,8
413,413,2
414,414,2
415,415,3
416,416,5
417,417,2
418,418,2
419,419,2
420,420,2
421,421,2
422,422,2
423,423,2
424,424,5
425,425,2
426,426,2
427,427,6
428,428,4
429,429,4
430,430,3
431,431,4
432,432,7
433,433,3
434,434,3
435,435,2
436,436,3
437,437,2
438,438,2
439,439,3
440,440,2
441,441,3
442,442,2
443,443,2
444,444,3
445,445,2
446,446,2
447,447,3
448,448,2
449,449,12
450,450,2
451,451,2
452,452,2
453,453,2
454,454,2
455,455,3
456,456,5
457,457,6
458,458,4
459,459,2
460,460,3
461,461,2
462,462,2
463,463,2
464,464,2
465,465,3
466,466,3
467,467,2
468,468,3
469,469,2
470,470,2
471,471,2
472,472,2
473,473,2
474,474,5
475,475,2
476,476,2
477,477,5
478,478,4
479,479,3
480,480,2
481,481,5
482,482,4
483,483,3
484,484,3
485,485,2
486,486,4
487,487,2
488,488,3
489,489,2
490,490,3
491,491,8
492,492,3
493,493,3
494,494,2
495,495,3
496,496,2
497,497,3
498,498,2
499,499,3
500,500,2
501,501,3
502,502,2
503,503,5
504,504,2
505,505,2
506,506,3
507,507,3
508,508,2
509,509,3
510,510,3
511,511,2
512,512,3
513,513,2
514,514,2
515,515,2
516,516,2
517,517,5
518,518,3
519,519,2
520,520,2
521,521,2
522,522,2
523,523,3
524,524,2
525,525,2
526,526,2
527,527,2
528,528,4
529,529,2
530,530,4
531,531,2
532,532,2
533,533,2
534,534,2
535,535,2
536,536,2
537,537,4
538,538,2
539,539,2
540,540,5
541,541,4
542,542,3
543,543,2
544,544,2
545,545,4
546,546,3
547,547,2
548,548,6
549,549,4
550,550,3
551,551,5
552,552,4
553,553,2
554,554,3
555,555,2
556,556,3
557,557,3
558,558,2
559,559,5
560,560,2
561,561,2
562,562,2
563,563,2
564,564,2
565,565,2
566,566,2
567,567,2
568,568,4
569,569,6
570,570,2
571,571,2
572,572,2
573,573,5
574,574,7
575,575,2
576,576,2
577,577,2
578,578,2
579,579,2
580,580,3
581,581,2
582,582,2
583,583,4
584,584,5
585,585,2
586,586,2
587,587,2
588,588,2
589,589,2
590,590,2
591,591,2
592,592,2
593,593,2
594,594,3
595,595,2
596,596,4
597,597,2
598,598,2
599,599,5
600,600,3
601,601,2
602,602,3
603,603,2
604,604,4
605,605,2
606,606,2
607,607,2
608,608,2
609,609,2
610,610,2
611,611,5
612,612,5
613,613,2
614,614,2
615,615,2
616,616,2
617,617,2
618,618,2
619,619,9
620,620,2
621,621,2
622,622,2
623,623,2
